id_shoot,gk_dis,pla_dis,goal_dis,goal_ang,goalkeeper_overcoming_angle,closest_player_angle,shot_body_part,shot_type,Qt_rivals_cone,Qt_teammate_cone,under_pressure,shot_first_time,shot_one_on_one,Target,shot_statsbomb_xg
328a9eaa-c330-4437-a027-3a2ef5ae1c02,19.22108217556962,3.2526911934581246,20.43942269243435,16.753946732279303,0.8476737015094514,9.966203812115829,Right Foot,Open Play,1,0,,True,,0,0.03106485
41cc678c-7156-4039-9165-f39db88a7dd0,10.375451797391767,3.811823710509184,12.149485585818029,13.632182130317789,0.08137594433671703,30.750700653308492,Left Foot,Open Play,1,0,,True,,0,0.07008362
b1416e9e-c543-43e5-a6b0-de6f4ac99138,28.264465323087222,8.586617494683225,23.389313799254566,8.772490497467599,3.375002869447467,4.036042363404961,Right Foot,Free Kick,1,0,,,,0,0.009690737
48a4a37e-e267-453f-abb8-1a124c268e97,15.835403373454053,2.801785145224377,17.404022523543226,20.343296641620906,3.924025240967222,29.738267447322134,Left Foot,Open Play,2,0,,True,,0,0.047086712
35ce8463-ec35-481b-962d-fa0ee04afa93,13.977839604173461,1.1401754250991423,13.130879635424275,8.6175394960156,0.3397998427402097,32.83176799594877,Left Foot,Open Play,1,0,True,,True,0,0.013314181
6731e691-819c-4ba3-b907-985ddba797c1,13.46291201783626,2.051828452868318,15.37335357038275,23.355323060051077,1.2908481221304204,12.987221243444601,Right Foot,Open Play,1,0,,True,,1,0.07356152
9528fbaa-49a6-40d4-b29b-d470516d8bef,10.30048542545447,2.5553864678361284,11.40175425099138,39.6990734834743,4.638176680654168,64.61520203524587,Head,Open Play,2,1,,,,0,0.06409711
9c777e1b-7fdc-47ea-bee5-cbf76615b443,1.4317821063276304,1.4317821063276304,4.25205832509386,108.55763767076115,8.829744667909024,8.829744667909024,Right Foot,Open Play,1,0,,True,,0,0.713237
93db6305-d4b0-48de-bc19-aa25a4a217bf,25.378928267363843,3.9408120990475974,26.325083095785278,12.71937189925127,1.3309895153915345,2.0452269421741582,Right Foot,Open Play,2,0,,,,0,0.013849599
283cf407-9392-41cd-b3ca-c4d27c832e2c,17.140011668607464,1.4866068747318464,17.4691156044031,14.077488052417497,1.1102886975239534,9.67926846208011,Right Foot,Open Play,1,0,,,,0,0.025414698
b33fc8ce-8407-4656-b600-4b159b903e13,20.322647465327943,2.5019992006393608,22.203603311174522,19.693314173994818,2.721689248371923,8.920023086238146,Right Foot,Open Play,2,0,,,,0,0.036091533
5d2a0853-5808-4779-84ea-c952921524cb,26.35469597623923,3.705401462729784,26.104788832702713,14.024618890927806,3.7114390215311723,34.33901861292223,Right Foot,Open Play,2,0,,,,0,0.024714688
37819675-d053-47bd-8592-9b0dd1a40a91,8.886506625215551,1.431782106327641,14.806079832285109,20.90167491312487,0.6999400326676983,152.3322331438246,Left Foot,Open Play,1,0,,,True,1,0.26349908
aa190345-376f-4352-8b16-7db8a96c0af3,26.24137953690697,2.2090722034374544,27.08578963220382,11.565420651327294,1.6231354886057836,36.79278358808195,Left Foot,Open Play,2,0,,,,0,0.010484776
4baed730-9b5d-40a0-b301-8f7418b20620,13.603308421115807,4.491102314577129,15.125144627407705,29.81959206463787,4.104064295497842,6.192393947061646,Right Foot,Open Play,2,0,,True,,0,0.08163903
3bee65e1-99ce-47d9-a66e-12185ec6489a,26.436716891475015,1.0440306508910553,28.01660222082614,15.148511057099526,4.9253186277459315,33.189519376447215,Right Foot,Open Play,1,0,,,,0,0.022034667
05967b72-0e20-4f6d-a43f-8295fee5b04a,9.080198235721515,0.8944271909999222,10.080674580602238,42.503841477323206,0.5424511787751798,51.45881637871844,Head,Open Play,2,1,True,,,0,0.060557514
